pktlen_0,pktlen_1,pktlen_2,pktlen_3,pktlen_4,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
583,66,1414,1414,1414,118,514,66,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,66,514,66,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,66,461,66,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1274,1274,1274,538,66,461,66,146,1
583,66,1414,1414,1414,118,66,66,461,66,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
709,66,326,66,146,928,369,812,66,1414,1
708,66,326,66,146,927,369,812,66,1414,1
583,66,1414,1414,1414,118,66,514,66,146,1
709,66,326,66,146,928,369,812,66,1414,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1274,1274,66,1274,538,66,531,66,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,118,1414,66,78,66,514,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,66,514,66,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
583,66,1414,1414,1414,118,66,514,66,146,1
