ip_ttl_0,ip_ttl_1,ip_ttl_2,ip_ttl_3,ip_ttl_4,ip_ttl_5,ip_ttl_6,ip_ttl_7,ip_ttl_8,ip_ttl_9,type
64,58,58,58,58,64,64,58,64,64,0
64,56,56,56,56,64,64,56,64,64,0
64,58,58,58,58,64,58,64,64,58,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,56,56,56,64,64,56,64,0
64,55,55,55,55,64,55,64,64,55,0
64,56,56,56,56,56,64,64,56,64,0
64,58,58,58,58,58,64,64,58,64,0
64,56,56,56,56,64,64,56,64,64,0
64,58,58,58,58,58,64,64,58,64,0
64,56,56,56,56,64,56,64,64,56,0
64,55,55,64,64,55,55,55,64,64,0
64,55,55,55,55,64,55,64,64,55,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,56,56,64,56,64,64,56,0
64,55,55,55,64,55,64,55,64,64,0
64,58,58,58,58,64,64,58,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,58,58,64,58,58,64,58,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,55,55,55,55,55,64,64,55,64,0
64,56,56,56,56,56,64,64,56,64,0
64,56,56,56,56,56,64,64,56,64,0
64,58,58,58,58,58,64,64,58,64,0
64,55,55,55,55,64,55,64,64,55,0
64,58,58,58,58,64,58,64,64,58,0
64,55,55,55,55,64,55,64,64,55,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,64,56,56,64,56,64,64,0
64,55,55,55,55,55,64,64,55,64,0
64,58,58,64,64,58,58,58,64,64,0
64,55,55,64,64,55,55,55,64,64,0
64,55,55,55,55,64,55,64,64,55,0
64,56,56,56,56,64,64,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,55,55,55,55,64,55,64,64,55,0
64,55,55,55,55,64,55,64,64,55,0
64,58,58,58,58,64,58,64,64,58,0
64,56,56,56,56,64,56,64,64,56,0
64,55,55,55,55,64,55,64,64,55,0
64,56,56,56,56,64,56,64,64,56,0
64,55,55,64,64,55,55,55,64,64,0
64,58,58,58,58,64,64,58,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,56,56,64,56,64,64,56,0
64,58,58,64,64,58,58,58,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,55,55,55,55,64,55,64,64,55,0
64,55,55,55,55,64,55,64,64,55,0
64,58,58,58,58,64,58,64,64,58,0
64,58,58,64,64,58,58,58,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,56,56,64,64,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,58,58,64,64,58,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,55,55,55,55,64,64,55,64,64,0
64,56,56,56,56,64,64,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,58,58,64,64,58,58,58,64,64,0
64,58,58,64,64,64,64,58,58,58,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,56,56,64,64,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,55,55,55,55,64,55,64,64,55,0
64,55,55,64,64,55,55,55,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,58,58,64,58,64,64,58,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,64,58,58,64,58,64,64,0
64,56,56,56,56,56,64,64,56,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,58,58,58,58,58,64,64,58,64,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,58,58,64,64,58,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,56,56,56,56,64,56,64,64,56,0
64,56,56,64,64,56,56,56,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,55,55,55,55,64,55,64,64,55,0
64,58,58,64,64,58,58,58,64,64,0
64,58,58,58,58,64,58,64,64,58,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,56,56,64,64,56,56,56,64,64,0
64,55,55,64,64,55,55,55,64,64,0
64,58,58,64,64,58,58,58,64,64,0
64,55,55,55,55,64,55,64,64,55,0
