pktdir_0,pktdir_1,pktdir_2,pktdir_3,pktdir_4,pktdir_5,pktdir_6,pktdir_7,pktdir_8,pktdir_9,type
1,-1,-1,-1,-1,1,1,-1,1,1,0
1,-1,-1,-1,-1,1,1,-1,1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,1,1,-1,1,1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,1,-1,1,-1,1,1,0
1,-1,-1,-1,-1,1,1,-1,1,1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,1,-1,-1,1,-1,1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,1,-1,-1,1,-1,1,1,0
1,-1,-1,-1,-1,-1,1,1,-1,1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,1,-1,1,1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,-1,-1,1,1,-1,-1,-1,1,1,0
1,-1,-1,-1,-1,1,1,-1,1,1,0
1,-1,-1,-1,-1,1,-1,1,1,-1,0
