proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_7,pktiat_9,pktlen_1,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
6,10,0.0100839138031005,5,2.408027648925781e-05,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036890506744384766,0.00026988983154296875,0.0005869865417480469,0.005243062973022461,66,66,66,461,66,146,0
6,10,0.0093538761138916,5,0.0001180171966552,1.7881393432617188e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003629922866821289,0.00018286705017089844,0.00043892860412597656,0.0046689510345458984,66,66,66,461,66,146,0
6,10,0.0102689266204833,4,0.0007910728454589,1.7881393432617188e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0040738582611083984,0.0002751350402832031,0.00017309188842773438,0.003654956817626953,66,66,461,66,146,66,0
6,10,0.0083339214324951,4,0.0008249282836914,1.2159347534179688e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037698745727539062,0.0002770423889160156,0.00018405914306640625,0.0036220550537109375,66,66,461,66,146,66,0
6,10,0.0047600269317626,4,1.2874603271484377e-05,8.821487426757812e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037190914154052734,0.000270843505859375,1.2874603271484375e-05,0.00011110305786132812,66,1366,66,66,461,66,0
6,10,0.0080490112304687,4,0.0005569458007812,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004122018814086914,0.0003809928894042969,0.00010895729064941406,0.00409388542175293,66,66,461,66,146,66,0
6,10,0.0048708915710449,4,1.9073486328125e-05,1.4066696166992188e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036950111389160156,0.0003428459167480469,1.9073486328125e-05,0.0001919269561767578,66,1366,66,66,461,66,0
6,10,0.0047178268432617,4,2.002716064453125e-05,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037088394165039062,0.00021314620971679688,2.002716064453125e-05,0.00013589859008789062,66,1366,66,66,461,66,0
6,10,0.0080058574676513,5,0.0001118183135986,9.059906005859377e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003885030746459961,0.0002498626708984375,0.0004820823669433594,0.002953767776489258,66,66,66,461,66,146,0
6,10,0.0044689178466796,4,8.416175842285156e-05,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0034580230712890625,0.0003349781036376953,8.416175842285156e-05,0.00010085105895996094,66,1366,66,66,461,66,0
6,10,0.0195200443267822,4,0.0007421970367431,1.1205673217773438e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004314899444580078,2.5033950805664062e-05,0.00012302398681640625,0.003981828689575195,66,66,461,66,146,66,0
6,10,0.3271710872650146,5,0.0044660568237304,1.1920928955078123e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004290103912353516,3.0994415283203125e-05,1.1920928955078125e-05,0.3110060691833496,66,66,393,128,66,164,0
6,10,0.0109438896179199,4,0.0007159709930419,7.867813110351562e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004148960113525391,0.0003790855407714844,0.00019884109497070312,0.004225015640258789,66,66,461,66,146,66,0
6,10,0.00872802734375,4,0.0005660057067871,1.71661376953125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037992000579833984,0.0003437995910644531,0.00015401840209960938,0.0037469863891601562,66,66,461,66,146,66,0
6,10,0.0105259418487548,4,0.0010108947753906,2.09808349609375e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004216909408569336,0.0003039836883544922,0.00019288063049316406,0.003640890121459961,66,66,461,66,146,66,0
6,10,0.0095140933990478,4,0.0005180835723876,9.059906005859377e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003720998764038086,0.0003120899200439453,0.00018310546875,0.003648996353149414,66,66,461,66,146,66,0
6,10,0.0081090927124023,5,0.0002470016479492,3.0994415283203125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004243135452270508,3.0994415283203125e-05,0.00027298927307128906,0.0028460025787353516,66,1368,66,461,66,146,0
6,10,0.008070945739746,5,2.789497375488281e-05,1.5974044799804688e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038061141967773438,0.0002148151397705078,0.00044798851013183594,0.0032548904418945312,66,66,66,461,66,146,0
6,10,0.214350938796997,5,0.0002310276031494,1.2874603271484377e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003715991973876953,0.0002129077911376953,1.2874603271484375e-05,0.20598793029785156,66,66,393,128,66,164,0
6,10,0.372359037399292,5,0.0003089904785156,1.2874603271484377e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004091978073120117,0.00028014183044433594,1.2874603271484375e-05,0.3626129627227783,66,66,393,128,66,164,0
