src_ip;sport;dst_ip;dport;proto;packets_count;start_time;end_time;duration;total_fiat;total_biat;iat_list;direction_list;pkt_len_list;f_pkts_num;b_pkts_num;min_fiat;max_fiat;min_biat;max_biat;mean_fiat;mean_biat;flow_packets_per_second;flow_bytes_per_second;f_min_pkt_size;f_max_pkt_size;f_mean_pkt_size;b_min_pkt_size;b_max_pkt_size;b_mean_pkt_size;is_closed;last_packet_time;diag_fiat;diag_step_fiat;diag_biat;diag_step_biat;diag_total;diag_steps;tcp_syn_count;tcp_ack_count;tcp_rst_count;tcp_psh_count;tcp_fin_count;tcp_urg_count;tcp_retr_count;ip_ttl_list;tcp_win_list;f_iat_list;b_iat_list;tcp_hs_skipped;entropy_list
10.34.1.15;51000;212.30.135.20;443;6;10;1690359192.090353;1690359217.118368;25.02801489830017;0.0100839138031005;0.0010318756103515;0.0,0.0036890506744384766,0.00026988983154296875,3.409385681152344e-05,1.0967254638671875e-05,0.00010585784912109375,2.4080276489257812e-05,0.0005869865417480469,0.00011992454528808594,0.005243062973022461;1,-1,-1,-1,-1,1,1,-1,1,1;583,66,1464,1462,1368,66,66,461,66,146;5;5;2.408027648925781e-05;0.0052430629730224;1.0967254638671877e-05;0.0007169246673583;0.0025209784507751;0.0002579689025878;0;229;66;583;185.4;66;1464;964.2;True;1690359217.118368;4,0,0,0,0,0,0,0,0,0;4.701142597198486;4,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;4;0;0;10;64,58,58,58,58,64,64,58,64,64;502,11,11,11,11,496,488,11,485,501;0.004109859466552734,2.4080276489257812e-05,0.0007069110870361328,0.005243062973022461;0.00026988983154296875,3.409385681152344e-05,1.0967254638671875e-05,0.0007169246673583984;True;5.912662034987095,0.0,5.847222306980263,6.3238561897747365,6.248758439731466,0.0,0.0,6.2563073147531005,0.0,5.917371495179854
10.34.1.15;50892;212.188.78.43;443;6;10;1690359203.062414;1690359224.516881;21.454467058181763;0.0093538761138916;0.0009088516235351;0.0,0.003629922866821289,0.00018286705017089844,0.00012612342834472656,1.7881393432617188e-05,2.5033950805664062e-05,0.00011801719665527344,0.00043892860412597656,0.0001461505889892578,0.0046689510345458984;1,-1,-1,-1,-1,1,1,-1,1,1;583,66,1464,1462,1368,66,66,461,66,146;5;5;0.0001180171966552;0.0046689510345458;1.7881393432617188e-05;0.0005819797515869;0.0023384690284729;0.0002272129058837;0;267;66;583;185.4;66;1464;964.2;True;1690359224.516881;4,0,0,0,0,0,0,0,0,0;4.701142597198486;4,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;4;0;0;10;64,56,56,56,56,64,64,56,64,64;502,11,11,11,11,501,488,11,501,501;0.003981828689575195,0.00011801719665527344,0.0005850791931152344,0.0046689510345458984;0.00018286705017089844,0.00012612342834472656,1.7881393432617188e-05,0.0005819797515869141;True;5.823696065464697,0.0,5.751604871628754,6.2963073147531,6.268758439731465,0.0,0.0,6.288758439731466,0.0,5.901807588956898
10.34.1.15;46390;212.30.135.39;443;6;10;1690359212.926642;1690359234.688264;21.761621952056885;0.0102689266204833;0.0098500251770019;0.0,0.0040738582611083984,0.0002751350402832031,1.7881393432617188e-05,2.2172927856445312e-05,0.0001049041748046875,0.00061798095703125,0.00017309188842773438,0.0049839019775390625,0.003654956817626953;1,-1,-1,-1,-1,1,-1,1,1,-1;583,66,1462,1462,1370,66,461,66,146,66;4;6;0.0007910728454589;0.004983901977539;1.7881393432617188e-05;0.0088119506835937;0.0034229755401611;0.0019700050354003;0;264;66;583;215.25;66;1462;814.5;True;1690359234.688264;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;4;0;0;10;64,58,58,58,58,64,58,64,64,58;502,11,11,11,11,489,11,486,501,11;0.0044939517974853516,0.0007910728454589844,0.0049839019775390625;0.0002751350402832031,1.7881393432617188e-05,2.2172927856445312e-05,0.0007228851318359375,0.00881195068359375;True;5.86511315996546,0.0,5.719673431958626,6.268758439731467,6.156307314753098,0.0,6.201209564709831,0.0,5.8234993076257675,0.0
10.34.1.15;51670;212.188.78.84;443;6;10;1690359219.849311;1690359244.885566;25.0362548828125;0.0083339214324951;0.0081861019134521;0.0,0.0037698745727539062,0.0002770423889160156,3.600120544433594e-05,1.2159347534179688e-05,0.00013399124145507812,0.000640869140625,0.00018405914306640625,0.0032799243927001953,0.0036220550537109375;1,-1,-1,-1,-1,1,-1,1,1,-1;583,66,1462,1462,1370,66,461,66,146,66;4;6;0.0008249282836914;0.0042290687561035;1.2159347534179688e-05;0.0070860385894775;0.0027779738108317;0.0016372203826904;0;229;66;583;215.25;66;1462;814.5;True;1690359244.885566;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;4;0;0;10;64,56,56,56,56,64,56,64,64,56;502,11,11,11,11,489,11,501,501,11;0.004229068756103516,0.0008249282836914062,0.0032799243927001953;0.0002770423889160156,3.600120544433594e-05,1.2159347534179688e-05,0.0007748603820800781,0.007086038589477539;True;5.92021091000873,0.0,5.825574336616457,6.3487584397314665,6.173660689688196,0.0,6.248758439731467,0.0,5.962492001110315,0.0
10.34.1.15;39392;212.188.78.51;443;6;10;1690359232.078102;1690359257.192346;25.11424398422241;0.0047600269317626;0.000929832458496;0.0,0.0037190914154052734,0.000270843505859375,2.3126602172851562e-05,2.4080276489257812e-05,8.821487426757812e-06,0.00015115737915039062,1.2874603271484375e-05,0.00043892860412597656,0.00011110305786132812;1,-1,-1,-1,-1,-1,1,1,-1,1;583,66,1462,1462,70,1366,66,66,461,66;4;6;1.2874603271484377e-05;0.0041971206665039;8.821487426757812e-06;0.0006029605865478;0.0015866756439208;0.0001859664916992;0;225;66;583;195.25;66;1462;814.5;True;1690359257.192346;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;3;0;0;10;64,56,56,56,56,56,64,64,56,64;502,11,11,11,11,11,493,485,11,501;0.004197120666503906,1.2874603271484375e-05,0.0005500316619873047;0.000270843505859375,2.3126602172851562e-05,2.4080276489257812e-05,8.821487426757812e-06,0.0006029605865478516;True;5.862466534900555,0.0,5.859673431958628,6.356307314753101,2.0,6.268758439731466,0.0,0.0,6.188758439731466,0.0
10.34.1.15;45342;212.188.75.107;443;6;10;1690359242.960198;1690359264.021381;21.061182975769043;0.0080490112304687;0.0080208778381347;0.0,0.004122018814086914,0.0003809928894042969,1.6927719116210938e-05,1.0013580322265625e-05,0.0001399517059326172,0.00044798851013183594,0.00010895729064941406,0.0028221607208251953,0.00409388542175293;1,-1,-1,-1,-1,1,-1,1,1,-1;583,66,1462,1462,1370,66,461,66,146,66;4;6;0.0005569458007812;0.0046699047088623;1.0013580322265623e-05;0.0070250034332275;0.0026830037434895;0.0016041755676269;0;272;66;583;215.25;66;1462;814.5;True;1690359264.021381;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;4;0;0;10;64,55,55,55,55,64,55,64,64,55;502,11,11,11,11,489,11,501,501,11;0.004669904708862305,0.00055694580078125,0.0028221607208251953;0.0003809928894042969,1.6927719116210938e-05,1.0013580322265625e-05,0.0005879402160644531,0.007025003433227539;True;5.94021091000873,0.0,5.870015409922193,6.268758439731466,6.3638561897747365,0.0,6.256307314753101,0.0,5.8280559073332725,0.0
10.34.1.15;53422;212.188.78.38;443;6;10;1690359252.840457;1690359273.850314;21.0098569393158;0.0048708915710449;0.0009839534759521;0.0,0.0036950111389160156,0.0003428459167480469,3.504753112792969e-05,3.0040740966796875e-05,1.4066696166992188e-05,0.0002028942108154297,1.9073486328125e-05,0.0003399848937988281,0.0001919269561767578;1,-1,-1,-1,-1,-1,1,1,-1,1;583,66,1462,1462,70,1366,66,66,461,66;4;6;1.9073486328125e-05;0.0043199062347412;1.4066696166992188e-05;0.0005619525909423;0.0016236305236816;0.0001967906951904;0;269;66;583;195.25;66;1462;814.5;True;1690359273.850314;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;3;0;0;10;64,56,56,56,56,56,64,64,56,64;502,11,11,11,11,11,493,485,11,501;0.004319906234741211,1.9073486328125e-05,0.0005319118499755859;0.0003428459167480469,3.504753112792969e-05,3.0040740966796875e-05,1.4066696166992188e-05,0.0005619525909423828;True;5.849016755221092,0.0,5.837564284943827,6.3363073147531015,2.0,6.4438561897747375,0.0,0.0,6.188758439731465,0.0
10.34.1.15;54394;212.30.135.5;443;6;10;1690359260.98893;1690359285.8957;24.90676999092102;0.0047178268432617;0.0008730888366699;0.0,0.0037088394165039062,0.00021314620971679688,3.790855407714844e-05,1.5020370483398438e-05,1.0967254638671875e-05,0.00023102760314941406,2.002716064453125e-05,0.00034499168395996094,0.00013589859008789062;1,-1,-1,-1,-1,-1,1,1,-1,1;583,66,1462,1462,70,1366,66,66,461,66;4;6;2.002716064453125e-05;0.0042169094085693;1.0967254638671877e-05;0.0005960464477539;0.0015726089477539;0.0001746177673339;0;227;66;583;195.25;66;1462;814.5;True;1690359285.8957;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;3;0;0;10;64,58,58,58,58,58,64,64,58,64;502,11,11,11,11,11,493,485,11,501;0.004216909408569336,2.002716064453125e-05,0.00048089027404785156;0.00021314620971679688,3.790855407714844e-05,1.5020370483398438e-05,1.0967254638671875e-05,0.0005960464477539062;True;6.004114505264362,0.0,5.859673431958627,6.301209564709832,2.0,6.2812095647098305,0.0,0.0,6.186111814666561,0.0
10.34.1.15;59408;212.188.78.66;443;6;10;1690359272.102065;1690359305.626169;33.52410387992859;0.0080058574676513;0.0009949207305908;0.0,0.003885030746459961,0.0002498626708984375,0.00012111663818359375,9.059906005859375e-06,2.09808349609375e-05,0.00011181831359863281,0.0004820823669433594,0.00017213821411132812,0.002953767776489258;1,-1,-1,-1,-1,1,1,-1,1,1;583,66,1464,1462,1368,66,66,461,66,146;5;5;0.0001118183135986;0.0042860507965087;9.059906005859377e-06;0.0006148815155029;0.0020014643669128;0.0002487301826477;0;171;66;583;185.4;66;1464;964.2;True;1690359305.626169;4,0,0,0,0,0,0,0,0,0;4.701142597198486;4,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;4;0;0;10;64,56,56,56,56,64,64,56,64,64;502,11,11,11,11,501,488,11,501,501;0.004286050796508789,0.00011181831359863281,0.0006542205810546875,0.002953767776489258;0.0002498626708984375,0.00012111663818359375,9.059906005859375e-06,0.0006148815155029297;True;6.020210910008731,0.0,5.919673431958628,6.193660689688197,6.2363073147531,0.0,0.0,6.356307314753102,0.0,5.871928094887359
10.34.1.15;47614;212.30.135.10;443;6;10;1690359291.441007;1690359312.927364;21.48635721206665;0.0044689178466796;0.0009100437164306;0.0,0.0034580230712890625,0.0003349781036376953,2.288818359375e-05,2.7179718017578125e-05,1.0967254638671875e-05,9.584426879882812e-05,8.416175842285156e-05,0.00033402442932128906,0.00010085105895996094;1,-1,-1,-1,-1,-1,1,1,-1,1;583,66,1462,1462,70,1366,66,66,461,66;4;6;8.416175842285156e-05;0.0039498805999755;1.0967254638671877e-05;0.0005140304565429;0.0014896392822265;0.0001820087432861;0;263;66;583;195.25;66;1462;814.5;True;1690359312.927364;3,0,0,0,0,0,0,0,0,0;4.701142597198486;5,0,0,0,0,0,0,0,0,0;4.701088118553161;8,0,0,0,0,0,0,0,0,0;4.701142597198486;0;10;0;3;0;0;10;64,58,58,58,58,58,64,64,58,64;502,11,11,11,11,11,493,485,11,501;0.003949880599975586,8.416175842285156e-05,0.00043487548828125;0.0003349781036376953,2.288818359375e-05,2.7179718017578125e-05,1.0967254638671875e-05,0.0005140304565429688;True;5.892662034987095,0.0,5.682466534900556,6.128758439731464,2.0,6.3763073147531015,0.0,0.0,6.20120956470983,0.0
