src_ip;sport;dst_ip;dport;proto;packets_count;start_time;end_time;duration;total_fiat;total_biat;iat_list;direction_list;pkt_len_list;f_pkts_num;b_pkts_num;min_fiat;max_fiat;min_biat;max_biat;mean_fiat;mean_biat;flow_packets_per_second;flow_bytes_per_second;f_min_pkt_size;f_max_pkt_size;f_mean_pkt_size;b_min_pkt_size;b_max_pkt_size;b_mean_pkt_size;is_closed;last_packet_time;diag_fiat;diag_step_fiat;diag_biat;diag_step_biat;diag_total;diag_steps;tcp_syn_count;tcp_ack_count;tcp_rst_count;tcp_psh_count;tcp_fin_count;tcp_urg_count;tcp_retr_count;ip_ttl_list;tcp_win_list;f_iat_list;b_iat_list;tcp_hs_skipped;entropy_list
10.34.1.22;51900;77.88.17.26;443;6;10;1690448083.450771;1690448143.542125;60.09135389328003;0.0212471485137939;0.0013539791107177;0.0,0.007969141006469727,0.0004379749298095703,8.106231689453125e-05,3.600120544433594e-05,0.0005748271942138672,0.00022411346435546875,0.0006020069122314453,0.010587930679321289,0.0007340908050537109;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0007340908050537;0.0105879306793212;3.600120544433594e-05;0.0007989406585693;0.0053117871284484;0.0003384947776794;0;119;66;1434;459.0;66;1462;974.8;True;1690448143.542125;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,64,54,64,64,64;502,11,11,11,11,489,11,501,501,501;0.009099006652832031,0.0008261203765869141,0.010587930679321289,0.0007340908050537109;0.0004379749298095703,8.106231689453125e-05,3.600120544433594e-05,0.0007989406585693359;True;5.980210910008729,0.0,5.880672086659727,6.3163073147531,6.296307314753101,0.0,6.133660689688196,0.0,5.871928094887359,6.188758439731465
10.34.1.22;52878;5.45.236.216;443;6;10;1690448098.715045;1690448158.831864;60.11681914329529;0.0230200290679931;0.0036427974700927;0.0,0.007657051086425781,0.0008859634399414062,0.0001049041748046875,3.600120544433594e-05,0.0006239414215087891,0.0019919872283935547,0.0006761550903320312,0.010197877883911133,0.0008461475372314453;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1464,1464,1366,66,514,66,146,1434;5;5;0.0008461475372314;0.0101978778839111;3.600120544433594e-05;0.0026159286499023;0.0057550072669982;0.0009106993675231;0;119;66;1434;459.0;66;1464;974.8;True;1690448158.831864;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,64,54,64,64,64;502,11,11,11,11,489,11,501,501,501;0.009307861328125,0.002668142318725586,0.010197877883911133,0.0008461475372314453;0.0008859634399414062,0.0001049041748046875,3.600120544433594e-05,0.0026159286499023438;True;5.806111814666558,0.0,5.853123211638092,6.2287584397314655,6.253660689688195,0.0,6.328758439731468,0.0,5.962492001110315,6.2687584397314655
10.34.1.22;39824;141.8.128.78;443;6;10;1690448113.907394;1690448174.013632;60.10623812675476;0.0272819995880126;0.0035998821258544;0.0,0.008094072341918945,0.0008480548858642578,8.296966552734375e-05,6.29425048828125e-05,0.0005829334259033203,0.002022981643676758,0.0006091594696044922,0.014272928237915039,0.0007059574127197266;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0007059574127197;0.014272928237915;6.29425048828125e-05;0.00260591506958;0.0068204998970031;0.0008999705314636;0;119;66;1434;459.0;66;1462;974.8;True;1690448174.013632;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,64,54,64,64,64;502,11,11,11,11,489,11,501,501,501;0.00967097282409668,0.00263214111328125,0.014272928237915039,0.0007059574127197266;0.0008480548858642578,8.296966552734375e-05,6.29425048828125e-05,0.002605915069580078;True;5.809016755221092,0.0,5.703465189601656,6.296307314753101,6.383856189774737,0.0,6.233660689688197,0.0,5.878055907333271,6.14611181466656
10.34.1.22;55290;213.180.207.236;443;6;10;1690448128.525094;1690448188.670127;60.14503288269043;0.0257139205932617;0.0038268566131591;0.0,0.009829044342041016,0.0009648799896240234,0.00013494491577148438,4.00543212890625e-05,0.0005490779876708984,0.002137899398803711,0.0007579326629638672,0.010408163070678711,0.0008919239044189453;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0008919239044189;0.0115180015563964;4.00543212890625e-05;0.0026869773864746;0.0064284801483154;0.0009567141532897;0;119;66;1434;459.0;66;1462;974.8;True;1690448188.670127;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,64,54,64,64,64;502,11,11,11,11,489,11,501,501,501;0.011518001556396484,0.002895832061767578,0.010408163070678711,0.0008919239044189453;0.0009648799896240234,0.00013494491577148438,4.00543212890625e-05,0.0026869773864746094;True;5.892662034987094,0.0,5.799673431958628,6.2687584397314655,6.220210910008733,0.0,6.348758439731467,0.0,5.917371495179855,6.276307314753102
10.34.1.22;46750;5.45.236.217;443;6;10;1690448143.645758;1690448204.572182;60.92642402648926;0.0100328922271728;0.0020170211791992;0.0,0.007707834243774414,0.0005261898040771484,4.57763671875e-05,1.5020370483398438e-05,1.2159347534179688e-05,0.00026488304138183594,3.504753112792969e-05,0.0011179447174072266,0.00030803680419921875;1,-1,-1,-1,-1,-1,1,1,-1,1;583,66,1462,1462,70,1366,66,66,514,66;4;6;3.504753112792969e-05;0.0085718631744384;1.2159347534179688e-05;0.0014178752899169;0.0033442974090576;0.0004034042358398;0;93;66;583;195.25;66;1462;823.3333333333334;True;1690448204.572182;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;3;0;0;10;64,55,55,55,55,55,64,64,55,64;502,11,11,11,11,11,493,485,11,501;0.008571863174438477,3.504753112792969e-05,0.0014259815216064453;0.0005261898040771484,4.57763671875e-05,1.5020370483398438e-05,1.2159347534179688e-05,0.0014178752899169922;True;5.909016755221092,0.0,5.840672086659726,6.158562939644926,2.0,6.343856189774737,0.0,0.0,6.263856189774734,0.0
10.34.1.22;43430;141.8.156.0;443;6;10;1690448087.38789;1690448208.289355;120.90146493911745;0.0127589702606201;0.0124812126159667;0.0,0.00527191162109375,0.002275228500366211,6.29425048828125e-05,2.5987625122070312e-05,4.1961669921875e-05,0.0004429817199707031,0.004358053207397461,0.0002799034118652344,0.00499415397644043;1,-1,-1,-1,-1,-1,1,1,1,-1;583,66,1462,1462,1462,197,66,159,706,356;4;6;0.0002799034118652;0.0081210136413574;2.5987625122070312e-05;0.0100750923156738;0.0042529900868733;0.0024962425231933;0;53;66;706;378.5;66;1462;834.1666666666666;True;1690448208.289355;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;5;0;0;10;64,54,54,54,54,54,64,64,64,54;502,11,11,11,11,11,484,501,501,11;0.008121013641357422,0.004358053207397461,0.0002799034118652344;0.002275228500366211,6.29425048828125e-05,2.5987625122070312e-05,4.1961669921875e-05,0.010075092315673828;True;6.032662034987096,0.0,4.895031518427474,6.081209564709829,6.296307314753101,6.343856189774737,0.0,5.531016867126984,6.009596970122528,6.207759785030367
10.34.1.22;46544;141.8.129.174;443;6;10;1690448159.155062;1690448219.26706;60.11199808120728;0.0161700248718261;0.0023651123046875;0.0,0.007618904113769531,0.0006439685821533203,4.410743713378906e-05,3.3855438232421875e-05,0.00041103363037109375,0.001232147216796875,0.0003609657287597656,0.0053708553314208984,0.00045418739318847656;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0004541873931884;0.0087518692016601;3.3855438232421875e-05;0.0016431808471679;0.0040425062179565;0.0005912780761718;0;119;66;1434;459.0;66;1462;974.8;True;1690448219.26706;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,55,55,55,55,64,55,64,64,64;502,11,11,11,11,489,11,501,501,501;0.008751869201660156,0.0015931129455566406,0.0053708553314208984,0.00045418739318847656;0.0006439685821533203,4.410743713378906e-05,3.3855438232421875e-05,0.0016431808471679688;True;5.96021091000873,0.0,5.733123211638091,6.296307314753101,6.3487584397314665,0.0,6.343856189774736,0.0,5.878055907333271,6.26120956470983
10.34.1.22;36656;141.8.157.99;443;6;10;1690448102.227018;1690448223.151218;120.92419981956482;0.0193309783935546;0.0185480117797851;0.0,0.005635976791381836,0.0018808841705322266,8.821487426757812e-05,7.891654968261719e-05,3.0040740966796875e-05,0.000637054443359375,0.010154962539672852,0.0008249282836914062,0.004853010177612305;1,-1,-1,-1,-1,-1,1,1,1,-1;583,66,1462,1462,1462,197,66,159,706,356;4;6;0.0008249282836914;0.0101549625396728;3.0040740966796875e-05;0.0164699554443359;0.0064436594645182;0.003709602355957;0;53;66;706;378.5;66;1462;834.1666666666666;True;1690448223.151218;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;5;0;0;10;64,55,55,55,55,55,64,64,64,55;502,11,11,11,11,11,484,501,501,11;0.00835108757019043,0.010154962539672852,0.0008249282836914062;0.0018808841705322266,8.821487426757812e-05,7.891654968261719e-05,3.0040740966796875e-05,0.016469955444335938;True;5.944114505264362,0.0,4.870129268470743,6.081209564709829,6.296307314753101,6.2763073147531,0.0,5.588939683771209,6.088758439731465,6.232662034987098
10.34.1.22;44186;141.8.180.173;443;6;10;1690448173.442014;1690448233.61073;60.1687159538269;0.0279140472412109;0.0034778118133544;0.0,0.011784076690673828,0.0008878707885742188,9.298324584960938e-05,5.1975250244140625e-05,0.0005841255187988281,0.0018608570098876953,0.000614166259765625,0.011056900024414062,0.0009810924530029297;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0009810924530029;0.0134010314941406;5.197525024414063e-05;0.0024449825286865;0.0069785118103027;0.0008694529533386;0;119;66;1434;459.0;66;1462;974.8;True;1690448233.61073;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,55,55,55,55,64,55,64,64,64;502,11,11,11,11,489,11,501,501,501;0.013401031494140625,0.0024750232696533203,0.011056900024414062,0.0009810924530029297;0.0008878707885742188,9.298324584960938e-05,5.1975250244140625e-05,0.0024449825286865234;True;5.94120956470983,0.0,5.602048095100892,6.316307314753101,6.356307314753101,0.0,6.208758439731465,0.0,5.896928094887359,6.3638561897747365
10.34.1.22;58462;141.8.157.88;443;6;10;1690448117.924926;1690448239.217883;121.29295706748962;0.0199668407440185;0.0191080570220947;0.0,0.006036996841430664,0.0017979145050048828,0.00012493133544921875,3.314018249511719e-05,2.8848648071289062e-05,0.0007650852203369141,0.01058197021484375,0.0005979537963867188,0.005178213119506836;1,-1,-1,-1,-1,-1,1,1,1,-1;583,66,1462,1462,1462,197,66,159,706,356;4;6;0.0005979537963867;0.0105819702148437;2.8848648071289062e-05;0.0171232223510742;0.0066556135813395;0.0038216114044189;0;53;66;706;378.5;66;1462;834.1666666666666;True;1690448239.217883;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;5;0;0;10;64,54,54,54,54,54,64,64,64,54;502,11,11,11,11,11,484,501,501,11;0.008786916732788086,0.01058197021484375,0.0005979537963867188;0.0017979145050048828,0.00012493133544921875,3.314018249511719e-05,2.8848648071289062e-05,0.01712322235107422;True;5.841467880199457,0.0,4.899095237993141,6.081209564709829,6.296307314753101,6.188758439731464,0.0,5.562677693762511,6.0963073147531,6.287759785030367
